 ,AGE040209D,AGE050210D,AGE270210D,AGE305210D,AGE770209D,AGN110207D,ANC100209D,BNK010210D,BNK050210D,BPS030210D,BPS130210D,BZN005209D,BZN075209D,BZN110209D,BZN210209D,BZN410209D,BZN450209D,BZN480209D,BZN510209D,BZN550209D,BZN610209D,BZN685209D,BZN710209D,BZN780209D,CLF010210D,CLF040210D,CRM110208D,CRM140208D,CRM240208D,CRM250208D,CRM260208D,EAN012207D,EDU015208D,EDU442209D,EDU490209D,EDU448209D,EDU496209D,HEA775207D,HIS020210D,HSD110210D,INC150209D,INC170209D,INC180209D,INC190209D,INC200209D,INC210209D,INC220209D,INC240209D,INC250209D,INC270209D,INC280209D,INC300209D,INC310209D,INC320209D,INC340209D,INC350209D,INC425209D,INC454209D,IPE010209D,IPE120209D,POP010210D,POP040210D,POP060210D,POP150210D,POP160210D,POP230210D,POP250210D,POP280210D,POP320210D
"San Saba, TX",5871,40.6,1285,2054,1125,1625,5904,3,86,0,0,2,1,15,5,37,4,1,8,4,14,0,14,0,2303,8.3,3,0,16,20,3,19422,979,0,22,2171,2087,29.9,1715,1563,287,138,196,152,120,134,119,150,53,177,177,235,35,24,26,67,12784,286,34019,21.5,6131,-55,5.4,3366,2765,4135,204,48,13
"Schleicher, TX",2731,33.7,1103,1073,423,904,2862,1,37,0,0,0,2,6,2,11,2,2,3,0,5,0,3,0,1478,8,1,0,8,9,0,21700,625,6,3,1036,1091,39.3,1536,878,129,37,33,63,65,50,40,43,50,176,107,122,114,63,17,18,13721,102,43902,15.4,3461,526,2.6,1726,1735,1872,38,16,4
"Scurry, TX",16222,36.8,4234,5941,2296,897,15994,5,354,84,7450,3,3,31,19,57,18,7,25,19,27,0,19,302,7990,6.4,132,1,107,247,13,40551,3141,23,26,5588,5274,24.3,6149,4137,673,524,335,340,362,383,403,280,170,431,589,670,347,188,189,82,13779,615,45292,17,16921,560,18.7,9028,7893,9773,799,106,59
"Shackelford, TX",3047,42.9,834,949,559,839,3084,3,166,0,0,0,3,9,7,18,5,3,6,4,5,1,6,0,2229,4.6,0,0,7,6,2,31659,681,0,4,1074,1168,32.9,340,937,108,90,88,27,88,94,42,87,63,143,127,125,53,65,23,4,14933,57,41887,13.1,3378,76,3.7,1632,1746,2961,29,19,9
"Shelby, TX",26812,37.6,6727,8315,4046,2810,26358,16,468,8,1285,34,8,40,22,89,35,11,40,14,28,1,36,110,13043,7.9,92,1,130,444,44,32708,5193,39,59,9208,9685,27.8,4164,6771,1240,869,872,1057,701,596,472,537,417,576,822,881,380,285,112,197,12854,1665,35870,19.9,25448,224,32,12591,12857,16535,4432,89,81
"Sherman, TX",2913,36.8,916,961,376,814,2905,2,87,8,751,4,0,7,1,9,2,2,5,0,2,1,3,0,1452,4.8,3,0,3,5,0,62262,881,0,13,1030,931,40.5,1227,819,57,78,81,71,123,26,79,38,30,112,104,98,60,28,21,29,15780,57,42931,13.1,3034,-152,3.3,1548,1486,1762,14,23,7
"Smith, TX",204665,35.6,53796,74998,29819,3136,197631,87,4033,266,37614,15,19,470,201,804,143,80,414,233,564,43,611,18330,101403,7.9,963,11,1551,4872,415,41352,32676,556,922,64863,71182,26.5,36088,54803,5151,4417,4591,4584,4399,3864,3924,3394,3498,5761,6663,7801,4291,2127,2213,2567,15590,6403,46127,16.2,209714,35008,227.6,101425,108289,130246,37629,1141,2597
"Somervell, TX",8031,40.3,2246,2548,1217,3171,7730,4,130,8,1404,0,4,17,6,34,6,3,9,8,15,1,21,0,4246,7.9,8,0,26,70,4,53980,1860,0,0,2354,2792,28.9,1626,2311,242,215,155,66,132,118,154,111,147,224,252,231,282,78,106,89,15969,142,53646,10.2,8490,1681,45.5,4182,4308,6595,57,72,53
"Starr, TX",62671,29,20678,22363,6392,1237,60936,13,432,0,0,1,7,22,9,132,22,8,55,11,23,5,80,0,25306,17.9,181,6,427,578,235,22052,16683,43,49,17268,19026,27.8,58337,14480,2991,2444,1645,1108,1106,896,665,790,392,713,809,453,394,216,119,128,9073,5724,22418,38.5,60968,7371,49.8,29440,31528,2449,69,77,133
"Stephens, TX",9632,40.1,2305,3026,1606,1233,9474,5,248,3,420,1,1,27,12,32,5,4,23,10,15,0,22,0,4630,7.1,16,0,53,91,7,32830,1540,11,70,3700,3310,28.2,2011,2519,285,300,276,425,301,261,179,196,205,336,308,315,126,33,20,92,15086,299,37174,19.7,9630,-44,10.7,4975,4655,7289,201,51,32
"Sterling, TX",1259,41.8,279,343,226,367,1114,1,34,0,0,0,2,3,1,2,1,0,1,0,2,0,3,0,779,4.6,2,0,4,9,0,26637,201,0,0,340,432,34.7,365,328,56,29,39,19,19,40,34,20,20,21,42,29,49,16,16,0,12712,18,49075,13.3,1143,-250,1.2,576,567,733,14,23,0
"Stonewall, TX",1354,46.3,339,380,318,669,1381,1,30,0,0,0,1,9,0,9,2,2,1,1,2,0,6,0,823,4.9,3,0,4,4,1,21384,231,6,13,493,544,29.3,209,426,76,22,56,22,16,36,31,17,40,41,75,79,28,19,17,3,12958,50,36222,16.8,1490,-203,1.6,717,773,1206,39,8,14
"Sutton, TX",4273,38.7,1134,1268,557,796,4270,2,134,0,0,0,1,21,3,23,7,4,5,5,8,0,4,0,3020,6.5,23,1,5,34,2,43713,1010,0,0,1391,1601,32.6,2459,1118,141,41,100,59,39,75,103,73,47,153,272,153,109,30,85,29,15245,130,60915,12.4,4128,51,2.8,2029,2099,1639,17,17,8
"Swisher, TX",7424,37,2052,2577,1274,726,7609,5,134,0,0,0,2,7,10,20,17,4,10,5,8,1,10,0,3590,6.2,20,1,44,103,14,27656,1464,24,62,2938,2440,27.5,3149,1995,252,361,233,199,164,143,97,125,126,247,334,281,63,3,38,41,13741,250,31929,22,7854,-524,8.8,4136,3718,4025,566,72,10
"Tarrant, TX",1789900,33.4,507061,702963,155996,3627,1704943,465,23152,5089,805273,14,47,2860,1618,5417,1107,560,2792,1751,4122,455,4152,353437,908651,8.3,8920,86,18135,54887,6058,51333,328844,9495,10587,568707,575414,26,482977,455033,35974,27494,28297,30483,32625,31727,30394,31642,27567,53017,62980,78931,52628,28626,28594,24729,15089,43425,53757,14.5,1809034,362815,2094.7,887235,921799,937135,268983,11827,84561
"Taylor, TX",127683,32.8,32158,51250,17163,1236,126587,43,1811,388,43254,3,29,254,97,559,107,59,261,164,278,34,370,9426,68397,6.4,642,7,1270,3106,230,38825,22018,678,805,40755,43822,22.9,29074,33446,3804,3167,3645,3819,3266,3532,3070,2811,2241,4246,4894,4854,2580,1325,872,842,13896,4775,42493,15.4,131506,4951,143.6,64028,67478,88121,9699,892,2073
"Terrell, TX",969,44.5,218,279,180,225,810,1,17,0,0,0,1,0,0,4,1,0,1,0,2,0,1,0,388,8.5,2,0,4,9,4,15899,168,0,0,336,278,33,467,253,47,16,38,52,38,0,39,52,6,24,53,23,0,0,6,6,15983,8,30926,18.8,984,-97,0.4,509,475,495,7,9,4
"Terry, TX",12142,35.1,3279,4460,1711,885,12154,3,202,48,3000,15,1,15,3,41,8,3,26,10,15,1,18,0,5843,7.4,29,0,55,78,14,34987,2248,11,2,4501,4043,26.8,6211,3074,696,442,281,235,288,255,366,169,156,332,309,279,231,111,85,106,13030,641,31926,23.1,12651,-110,14.2,6717,5934,5747,605,78,30
"Throckmorton, TX",1593,46.6,366,410,374,872,1630,3,44,0,0,0,1,5,2,6,1,1,4,0,3,0,4,0,1055,4.8,1,0,4,1,0,24501,339,3,0,637,652,34.4,152,475,92,42,52,79,75,36,42,48,56,43,56,63,17,14,12,11,14561,50,36523,15.5,1641,-209,1.8,807,834,1453,11,12,7
"Titus, TX",30206,32.5,9883,11494,3519,2053,29111,10,542,4,560,2,6,56,41,142,17,14,45,29,31,3,88,0,14578,7.8,157,2,235,508,51,35005,6767,6,65,9457,9510,32.4,12799,8154,635,597,716,885,708,570,992,603,390,1011,1048,978,420,234,131,183,13984,1098,37553,18.4,32334,4216,79.6,15976,16358,15904,3091,354,237
"Tom Green, TX",108378,34.3,25934,42124,15077,1079,106643,36,1517,177,24682,7,8,260,107,418,54,53,198,140,193,20,269,6593,53884,6.4,394,6,1133,3465,254,35011,18074,445,435,35039,38484,25.2,39315,27728,3228,2801,3254,3010,3005,2460,2563,2189,1523,4122,3921,4440,2269,1245,529,767,13965,4068,40399,16.2,110224,6214,72.4,53976,56248,63799,4445,877,1118
"Travis, TX",1026158,31.9,245037,477213,70474,2832,966761,287,17215,4397,663460,10,51,1961,746,3353,439,783,2105,1704,4975,489,2659,174638,560967,6.9,4276,26,9986,37798,2857,52257,141247,10990,11828,342200,315992,25,342766,229929,26458,16358,16744,19295,20255,21038,19529,20009,15756,31632,36661,45365,30251,18829,19473,22558,14953,25709,53434,16,1024266,211986,1034.4,516637,507629,517644,87308,8555,59333
"Trinity, TX",13897,47.3,3041,3819,3133,1923,14005,3,99,4,112,8,6,13,10,33,3,4,7,5,11,2,20,0,5920,8.8,34,2,56,96,21,20975,2280,19,28,5061,5599,26.8,1117,4061,539,504,297,376,405,406,406,338,238,642,339,443,157,106,62,61,15700,389,33081,19.7,14585,806,21,7100,7485,11819,1378,69,42
"Tyler, TX",20556,42.1,4352,7348,3877,2804,20340,10,183,4,235,14,8,15,10,51,15,7,16,4,20,1,22,211,8610,10.6,56,1,170,119,23,27002,3618,0,4,8248,7570,21.5,1487,5582,893,493,655,862,856,533,454,388,364,626,808,579,261,221,146,78,14272,1298,33442,20.1,21766,895,23.5,11731,10035,17507,2390,115,51
"Upshur, TX",38057,40.5,9722,12094,5254,2584,37635,11,419,15,1115,6,4,70,27,82,18,7,36,7,38,4,41,153,20160,7.8,110,0,341,617,78,27678,7078,52,84,13212,13825,23.4,2613,10868,1164,957,1063,797,810,676,1186,856,640,1215,1340,1694,814,335,167,211,14952,1515,43685,15.9,39309,4018,67.4,19462,19847,32257,3416,259,150
"Upton, TX",3130,36.5,915,1060,454,513,3046,2,52,1,50,0,1,4,0,9,10,2,4,1,1,1,6,0,1856,5,6,0,2,12,0,37588,695,4,4,1202,1056,34.8,1644,903,106,109,61,30,83,27,84,63,31,144,115,99,58,4,13,10,11999,72,44835,16,3355,-49,2.7,1675,1680,1611,63,58,0
"Uvalde, TX",26811,35.3,7633,8583,3822,1087,26623,11,535,12,777,5,8,49,21,99,28,12,37,29,43,4,59,798,11720,9.1,111,0,275,807,36,28259,6103,49,18,8353,9023,29.5,18299,6742,1260,834,502,659,692,658,405,430,372,502,674,722,402,256,137,159,12160,1937,30465,31.5,26405,479,17,12909,13496,7666,170,146,134
"Val Verde, TX",48165,32.3,14564,17767,7826,457,47533,15,374,38,4270,1,3,65,20,153,51,16,56,32,39,14,88,1597,21248,9.1,94,3,216,731,82,37856,10352,64,121,15491,16562,29.7,39199,11963,1754,1523,1072,1176,1108,848,874,695,533,1149,1315,1330,617,311,325,30,11048,2743,33705,24.5,48879,4023,15.5,24519,24360,8548,746,240,238
"Van Zandt, TX",52005,42.1,12650,15516,9186,3043,51874,17,497,9,899,4,9,104,33,136,33,17,43,34,59,7,75,1018,25960,7.6,110,3,381,755,101,24082,9922,245,47,18858,19437,27.7,4847,14605,1511,1276,1279,1333,1119,1255,1149,1126,1136,1759,2190,2002,1121,404,311,221,15333,1205,41893,14.5,52579,4439,62.4,25863,26716,45087,1427,457,171
"Victoria, TX",87790,36.4,23177,29042,11722,1551,86206,23,1800,47,7305,3,9,181,76,393,66,29,166,118,145,23,319,6158,45957,7.3,524,1,1024,2775,148,40320,14951,289,240,28808,30637,20.9,38113,22680,2333,1849,1861,2051,2254,2016,1633,1505,1483,2596,3465,3737,1874,1157,825,840,14449,3441,47345,14,86793,2705,98.4,42349,44444,41564,5513,503,899
"Walker, TX",64119,34.5,11318,32360,6573,2451,63928,11,679,629,54805,7,9,71,43,146,17,19,68,55,87,4,95,2471,28132,7.6,223,1,414,1108,101,33147,6893,160,304,27280,14701,29.6,11389,12354,3088,1662,935,1096,1751,1291,1087,1062,534,1532,1770,1926,786,298,305,206,14772,1860,37203,23.2,67861,6103,86.5,40007,27854,39671,15257,302,631
"Waller, TX",36530,31.7,10656,17402,3743,3303,35552,10,360,59,2274,4,4,96,70,100,23,12,18,15,60,9,45,2273,16719,8.9,149,3,384,530,79,40423,8576,56,125,11682,12055,31,12536,10116,982,1210,669,686,817,922,549,509,625,1192,987,1243,891,474,401,324,14738,1128,47110,19,43205,10542,84.1,21395,21810,19260,10739,354,214
"Ward, TX",10528,37,2920,3403,1461,370,10297,5,147,7,1375,1,6,21,3,29,13,4,19,9,15,0,15,0,5015,8,82,0,121,238,6,43763,2128,2,21,3382,3818,23.1,5074,2845,283,352,379,280,131,189,302,224,268,371,454,231,215,77,86,55,13559,338,43023,15.5,10658,-251,12.8,5151,5507,4922,522,98,32
"Washington, TX",32893,41.6,7450,10689,5978,3708,32152,14,770,54,6388,4,4,101,42,142,17,13,61,44,50,9,89,1100,17106,6.4,109,3,217,409,33,30768,5284,27,67,10254,12253,25.4,4641,8878,1306,855,908,865,715,530,626,410,657,878,1112,1248,760,473,366,513,14031,850,42243,14.5,33718,3345,55.8,16580,17138,22394,5947,99,445
"Webb, TX",241438,27.8,88158,96763,19581,747,231035,56,5915,663,93949,3,11,220,77,809,1021,46,253,199,304,37,469,9650,95694,8.6,1436,11,2239,10755,1767,34215,66225,506,1102,63994,70435,38.7,239653,56350,7549,5759,4978,4202,4003,4021,3633,3105,2611,4712,5552,5709,2886,1685,1340,807,10640,15655,37140,30.9,250304,57187,74.5,121488,128816,8345,1132,1006,1464
"Wharton, TX",41000,37.2,11072,13351,5810,1765,40919,22,913,12,2101,15,7,86,43,173,42,14,72,36,58,6,65,1004,21225,8.6,171,0,407,695,60,30915,8010,68,148,13895,13901,28.4,15445,10820,1324,1090,1247,1018,733,898,663,809,827,1344,1392,1377,1246,389,444,197,13588,1586,36980,18.9,41280,92,38,20291,20989,19681,5817,161,160
"Wheeler, TX",4888,40.2,1371,1600,866,680,4763,5,204,0,0,1,3,11,2,30,13,3,10,5,12,1,16,83,3264,4.7,9,0,11,29,8,37410,1025,5,0,1642,1839,34.3,1344,1525,155,223,170,150,129,117,79,116,82,192,168,193,114,73,43,83,13712,241,43565,12.6,5410,126,5.9,2661,2749,3847,113,44,23
"Wichita, TX",127616,33.9,30409,52094,16943,971,128464,43,2047,175,31657,7,7,254,136,501,81,56,211,179,243,27,373,7601,61884,8,609,4,1726,5253,553,43297,21626,509,738,44731,44632,22.5,21859,31663,4137,3493,2954,3022,3069,3163,3192,2838,2787,4640,4743,5335,2533,1076,889,1297,14263,5210,41862,15.4,131500,-164,209.5,67438,64062,90001,13811,1394,2669
"Wilbarger, TX",13541,38,3467,4358,1921,738,13725,7,298,2,180,2,8,24,11,49,9,9,27,9,17,1,32,221,7941,6.1,45,0,70,272,14,31060,2592,0,14,4777,4694,22.4,3508,3498,598,618,280,316,435,261,292,189,406,474,561,362,183,60,122,73,14049,611,35530,17.2,13535,-1141,13.9,6736,6799,8585,1086,145,98
"Willacy, TX",20395,32.1,5931,8881,2410,1194,20364,3,68,16,1482,5,0,6,4,36,11,5,16,9,11,2,31,369,9187,12.4,275,1,254,396,11,28510,4484,19,13,7038,6483,25.3,19297,4607,1697,558,359,547,311,223,214,366,156,363,350,228,210,46,22,43,9812,1909,26095,41.6,22134,2052,37.5,12030,10104,2235,473,63,140
"Williamson, TX",410686,34.2,121452,165557,38047,2816,372438,122,3931,1937,364721,6,23,877,263,1192,134,116,559,388,961,114,832,40243,214801,7.4,591,4,1516,5975,349,45063,94262,1572,1542,125195,126786,18.7,98034,111514,3668,3326,3098,4147,4503,5446,5856,5919,5042,10796,16185,21362,14838,8014,7572,4260,15939,5442,69862,5.5,422679,172712,378,208032,214647,269481,26196,2629,20433
"Wilson, TX",40749,40,11334,13297,4950,2361,39033,9,246,61,7633,0,8,88,25,73,17,4,34,13,42,2,49,0,19388,7.4,64,3,97,351,23,21770,8218,48,156,13590,13706,24.2,16412,11865,556,544,724,511,566,426,548,491,374,1172,1420,1890,1214,614,392,216,14062,844,55829,12.8,42918,10510,53.4,21372,21546,25186,701,281,163
"Winkler, TX",6772,34.7,2109,2304,867,262,6583,4,76,1,90,0,1,16,0,22,17,3,7,6,9,0,8,0,3362,7.8,11,0,19,84,3,45909,1609,0,23,2240,2436,29.8,3824,1904,345,202,268,116,123,94,140,247,141,209,244,187,159,68,23,21,13159,289,46105,14.6,7110,-63,8.5,3550,3560,3024,156,71,17
"Wise, TX",59415,38.4,15403,19707,6857,3152,57615,21,766,26,4040,2,6,160,74,162,85,9,60,39,78,6,107,730,28288,8.2,167,0,233,612,30,37152,8952,167,191,20795,20057,26,10112,16095,815,896,828,689,808,1000,836,855,1132,1878,2253,2743,1498,949,517,452,14961,1040,54017,10.6,59127,10334,65.4,29803,29324,47122,627,461,244
"Wood, TX",43136,47.5,8528,11098,10096,2898,42104,20,604,3,195,5,10,84,42,135,20,18,63,37,62,5,77,1506,18416,8.6,112,1,232,390,53,29423,5245,70,85,15382,15765,26.6,3551,12149,1014,1022,1071,1084,1246,1009,1005,695,647,1150,1583,1505,652,297,376,314,16420,1170,38940,15,41964,5212,65,20622,21342,35628,1972,280,161
"Yoakum, TX",7698,32.8,2501,2592,878,846,7453,4,100,6,907,3,2,19,5,25,10,2,11,4,6,0,6,0,4008,6.3,21,0,18,83,5,49409,1987,0,32,2564,2536,35.3,4622,2120,224,179,170,115,156,186,55,181,174,327,289,302,220,85,16,57,14719,228,50045,12.8,7879,557,9.9,3899,3980,3090,70,59,31
"Young, TX",17792,41.8,4459,5492,3284,1258,17701,9,528,5,530,1,7,54,24,70,18,11,32,20,41,0,55,176,9727,6.7,47,1,164,207,22,34098,3457,10,47,6107,7105,26,3045,5223,613,640,713,416,514,508,478,418,403,567,635,767,263,228,154,242,14658,642,40772,15.1,18550,607,20.3,9148,9402,14959,232,138,65
"Zapata, TX",14036,28.3,4805,5068,1745,919,13561,2,287,0,0,0,2,14,4,39,10,2,12,6,4,2,14,584,5514,11,46,1,75,56,14,37171,3691,33,90,4435,4246,35,13084,3423,1028,726,472,445,150,95,464,28,234,152,246,110,204,50,155,19,11326,1830,30761,29.3,14018,1836,14,7044,6974,861,19,42,32
"Zavala, TX",11585,30.8,3660,4032,1316,1052,11620,3,56,4,359,2,0,14,5,18,3,2,8,0,6,2,11,0,4039,15.6,47,0,107,167,18,22775,2504,0,22,3754,3865,23,10961,2764,718,319,331,520,251,203,254,109,93,166,135,227,84,17,33,0,9797,1353,21841,35.8,11677,77,9,5760,5917,647,89,41,4
UTAH,2784572,29.2,871027,1096191,251159,1249,2651816,602,271945,9171,1672392,71,219,9501,3210,8846,2075,1359,5149,4389,8485,907,6623,360581,1368048,7.7,6068,40,14577,69637,7216,39651,559778,15646,13869,811667,825526,15.7,358340,660234,40441,33580,35033,37964,43128,44054,45265,45592,42093,82533,102314,118283,69015,37830,29989,24449,15691,47625,55183,11.7,2763885,530716,33.6,1388317,1375568,2221719,29287,32927,55285
"Beaver, UT",6267,31.9,2244,2066,818,2326,6139,3,64,19,2823,0,4,24,13,30,13,1,8,2,4,0,20,39,3343,9.5,9,0,16,57,1,37452,1580,11,12,2091,1868,22.6,716,1697,118,186,117,172,206,88,159,137,130,110,171,304,68,54,8,15,16585,103,41761,10.9,6629,624,2.6,3410,3219,5700,16,76,70
"Box Elder, UT",49902,30.6,16978,16765,5376,917,47897,10,301,264,35812,2,7,185,76,135,85,10,64,53,60,9,109,878,22185,9,66,0,193,821,37,40809,11264,181,140,15021,14974,13.3,4152,12891,572,557,496,890,868,917,789,892,666,1975,1992,2594,1116,520,414,133,15906,826,52867,9.6,49975,7230,8.7,25185,24790,44109,172,412,443
"Cache, UT",115269,25.5,35639,49831,8905,3140,109347,23,1016,603,71391,8,3,503,203,403,82,52,208,192,362,31,319,6599,62689,5.7,87,2,390,1511,50,29503,22334,1081,935,27463,30174,18,11216,26464,1683,1605,2090,2102,2267,2335,1889,1935,1654,2943,3616,3833,2113,1006,676,718,15988,2076,47064,16.7,112656,21265,96.7,55999,56657,96283,697,690,2122
"Carbon, UT",19989,34.4,5722,7325,2713,1070,19536,8,229,39,6722,0,8,47,19,83,25,7,28,19,40,4,70,0,10400,8.2,36,0,137,428,34,35373,4109,69,34,6405,6598,11.6,2659,5587,694,556,560,655,499,543,275,534,449,590,753,875,418,195,71,87,15304,1107,44684,15.7,21403,981,14.5,10615,10788,18007,93,252,125
"Daggett, UT",941,42.8,243,311,166,1578,779,0,0,13,1442,0,0,1,1,2,1,1,0,2,3,0,1,0,486,7,1,0,4,20,1,29485,180,0,5,364,255,23.5,33,287,4,35,23,15,46,36,18,9,5,23,20,52,11,33,5,0,12925,17,43940,6.6,1059,138,1.5,597,462,1000,4,8,4
"Davis, UT",300827,29.2,105339,115091,24522,5373,286502,49,2139,960,203551,2,4,922,264,798,197,83,485,392,830,77,603,0,145411,7.1,306,2,1197,5281,261,38391,69376,1645,1305,86617,88414,10.5,25753,76205,3274,2039,2263,2562,3583,3597,4131,4248,4227,8678,12201,14356,9051,5749,4253,2862,15689,4359,66220,7,306479,67485,1025.8,153891,152588,263049,3702,1424,5416
"Duchesne, UT",17948,29.7,6309,6422,1765,661,16327,4,185,64,14509,4,8,108,19,64,90,5,23,35,35,3,50,127,9784,8,22,0,57,240,20,35603,4444,52,73,5473,5141,16.6,1117,4703,445,254,204,299,252,314,338,306,344,777,880,783,311,168,76,116,16437,615,53080,10.6,18607,4236,5.7,9455,9152,16211,44,842,52
"Emery, UT",10629,32.8,3488,3396,1364,1289,10408,4,56,19,3211,0,30,19,9,41,9,8,11,3,12,2,16,0,5279,7.8,6,0,51,95,4,37156,2312,29,49,3525,3534,15.5,654,2948,245,174,229,167,293,192,308,192,151,320,549,555,192,66,43,14,15847,317,51014,11.6,10976,116,2.5,5589,5387,10108,26,78,38
"Garfield, UT",4625,39,1379,1495,783,2630,4488,3,52,30,5302,0,4,19,5,21,2,1,5,5,8,4,6,332,2991,10.3,0,0,0,0,0,22543,951,17,19,1728,1592,20,234,1318,137,92,82,98,108,193,98,162,96,171,181,363,77,28,13,35,14546,144,41323,12.2,5172,437,1,2674,2498,4740,22,85,61
"Grand, UT",9660,39.9,2118,3059,1286,419,9407,2,142,41,11279,1,1,50,7,74,13,9,12,32,28,7,23,2905,5422,10.8,24,0,59,206,14,25938,1546,40,28,3434,3503,20.5,881,2324,316,345,261,200,297,288,214,278,89,377,417,332,157,24,15,37,13462,395,39070,14.7,9225,740,2.5,4646,4579,7759,29,381,77
"Iron, UT",45280,26.8,13944,18997,4373,1606,42752,12,489,147,24986,2,8,242,65,189,59,14,66,84,117,17,128,2888,20434,9.6,56,0,234,855,55,27883,9398,221,101,11816,12744,19.1,3563,10997,1210,720,861,913,1075,1087,862,1267,815,1359,1599,1319,636,350,148,83,15289,1381,40145,18.3,46163,12384,14,22953,23210,40226,227,1019,349
"Juab, UT",10244,29.3,3837,3310,1065,1175,9563,2,50,36,5370,0,1,32,12,32,11,2,10,3,15,1,23,0,3982,10.5,12,0,76,137,18,29360,2474,57,10,2908,3035,13.7,379,2494,232,113,51,181,175,226,187,168,169,416,366,442,145,69,72,26,13490,253,50589,11.7,10246,2008,3,5228,5018,9631,25,90,22
"Kane, UT",6601,44.5,1729,1877,1216,1493,6447,3,101,33,7210,2,1,39,6,47,7,4,11,22,15,2,16,1483,3527,8.2,20,0,53,60,3,25926,1201,0,72,2413,2307,17.7,263,1907,225,218,165,157,232,129,163,268,180,145,351,241,153,29,54,36,15730,158,43287,11.7,7125,1079,1.8,3521,3604,6639,16,104,31
"Millard, UT",12276,33.7,4061,3627,1640,1181,12007,4,115,11,1982,3,4,28,10,62,13,7,17,2,6,1,18,0,6431,6.5,20,0,56,199,12,37467,3036,2,80,4142,3834,17.8,1603,3262,230,373,236,221,265,326,239,195,119,302,348,566,311,105,62,56,14405,361,44852,14.6,12503,98,1.9,6367,6136,10589,12,125,76
"Morgan, UT",8908,32,3349,2921,911,1370,8381,2,70,43,14755,2,3,75,12,27,8,1,14,6,20,1,19,0,4111,7.4,1,0,13,41,8,24428,2313,3,17,2718,2544,16.9,226,2443,62,52,48,32,88,123,133,204,147,199,303,485,333,200,92,118,15386,24,75164,4.9,9469,2340,15.5,4771,4698,9098,16,18,34
"Piute, UT",1431,40.5,468,365,300,2814,1516,1,19,4,290,0,0,2,0,6,4,0,1,0,0,0,1,0,804,7.6,0,0,0,0,0,24939,361,0,20,490,488,19.5,109,425,22,41,59,52,39,39,36,22,20,43,39,71,27,4,3,3,13858,17,35962,18.8,1556,121,2.1,796,760,1419,2,5,6
"Rich, UT",2160,34.7,704,665,295,809,2067,1,19,36,6012,0,2,15,1,9,6,1,2,10,3,0,2,0,1316,5.7,2,0,11,33,1,18782,455,0,49,742,658,26.2,96,642,42,12,38,22,28,40,67,85,37,170,73,113,21,13,14,8,15683,6,53783,10.1,2264,303,2.2,1170,1094,2131,0,16,7
"Salt Lake, UT",1034989,30.8,299781,421533,89962,3248,1000299,252,239153,2472,430810,15,71,3311,1405,3322,696,622,2483,1854,3906,366,2676,193151,556793,7.4,3818,23,7524,38058,5208,46077,191513,7429,6236,324422,325782,16.9,176015,242626,15913,12993,13354,14508,16377,17012,17478,18260,15669,32770,38973,46325,28999,15755,13617,11745,15803,18094,56954,10.7,1029655,131268,1387.1,517881,511774,761885,16404,9157,33987
"San Juan, UT",15049,29.9,5017,4897,1542,361,14429,4,66,34,5013,1,1,33,6,35,15,3,11,3,14,15,33,0,5419,13.3,18,0,20,79,0,27680,2975,22,56,4367,4560,18.1,649,3434,592,272,382,245,322,305,243,246,214,379,395,431,118,144,60,6,13677,775,36038,28.3,14746,333,1.9,7403,7343,6474,25,7431,37
"Sanpete, UT",25946,28.4,8341,10806,3098,2196,24742,8,204,44,5409,0,3,65,32,84,20,11,30,18,21,3,42,182,10950,9.4,15,0,28,92,11,24558,5385,50,58,7767,6756,19.6,2619,6100,468,402,492,400,491,510,489,410,252,623,945,722,357,153,86,30,14893,464,42834,16,27822,5059,17.5,14558,13264,24109,229,305,150
"Sevier, UT",19976,32.8,6600,6558,2715,1983,19603,6,233,44,8516,1,2,75,21,95,51,7,28,11,38,4,49,122,9881,8.3,24,0,110,475,22,29031,4732,19,54,6390,6080,15.1,932,5482,328,383,362,351,329,648,443,427,404,610,783,603,341,215,143,73,14859,420,46148,12.5,20802,1960,10.9,10494,10308,19325,39,230,67
"Summit, UT",36969,37.1,10070,12508,2693,1439,35644,17,4578,243,50540,1,5,322,37,280,52,39,100,235,281,38,107,78589,22379,7.5,29,0,206,855,49,33502,6962,114,222,13283,12062,18,4190,9271,548,215,383,345,504,284,431,437,573,930,1019,2023,1536,1314,907,1301,17654,131,73769,7.3,36324,6588,19.4,18724,17600,31012,154,122,446
"Tooele, UT",58335,29.6,21018,21380,4379,1639,54473,5,97,274,34931,0,5,120,36,89,31,13,49,32,66,7,86,0,28325,8.1,117,1,344,1247,111,38715,13504,140,112,17472,16884,13.6,6661,14319,681,572,448,680,648,671,972,727,1006,1968,2616,3102,1470,606,394,293,11765,1006,56053,7.2,58218,17483,8.4,29327,28891,49174,406,563,374
"Uintah, UT",31536,29.1,10857,12043,2873,533,29014,4,246,71,15621,1,4,156,34,132,140,12,43,85,87,8,58,0,17316,7.2,72,0,119,466,85,41423,6411,79,57,9409,9546,19.8,2330,8184,483,501,390,491,543,565,321,272,468,1051,1210,1380,945,551,316,297,15283,508,58312,10.1,32588,7364,7.3,16569,16019,26999,121,2509,166
